id,archetype,age,gender,location,urban_rural,education,income_band,trust_govt,trust_media,trust_academia,trust_local,trust_social_media,trust_influencers,trust_religious_leaders,youtube_usage,whatsapp_usage,newspaper_usage,tv_news_usage,regional_media_exposure,english_media_exposure,political_interest,economic_optimism,traditionalism
341,Homemaker,38,Male,"Coimbatore, Tamil Nadu",Urban,Graduate,₹10L-20L,5,5,5,8,6,6,7,5,9,4,7,6,3,4,5,7
342,Corporate Employee,45,Male,"Jaipur, Rajasthan",Urban,Graduate,₹5L-10L,4,5,6,5,6,5,5,6,7,5,6,5,7,5,7,5
343,Homemaker,44,Male,"Kannur rural, Kerala",Rural,Secondary,Below ₹2.5L,5,5,4,7,6,6,6,5,9,4,6,8,4,5,5,7
344,Retired Government Officer,73,Male,"Visakhapatnam, Andhra Pradesh",Urban,Graduate,₹20L-50L,8,6,7,8,3,2,8,3,6,8,9,6,6,8,6,6
345,Regional Language Aspirant,19,Other,"Erode, Tamil Nadu",Semi-Urban,Undergraduate,₹5L-10L,4,5,7,7,4,4,6,6,6,7,6,9,3,8,5,8
346,Urban Student,21,Female,"Patna, Bihar",Urban,Higher Secondary,Below ₹2.5L,5,5,8,6,7,7,4,9,8,3,4,4,9,3,7,3
347,Rural Farmer,31,Male,"Village near Varanasi, Uttar Pradesh",Rural,Secondary,₹5L-10L,5,4,4,9,4,3,7,4,6,4,6,9,2,5,6,8
348,Homemaker,54,Female,"Visakhapatnam, Andhra Pradesh",Urban,Primary,₹5L-10L,5,5,4,8,6,6,7,5,10,4,8,7,3,4,5,7
349,Homemaker,32,Female,"Jaipur, Rajasthan",Urban,Graduate,₹2.5L-5L,5,6,4,8,6,5,7,4,9,5,7,7,3,4,5,7
350,Retired Government Officer,65,Male,Delhi,Urban,Graduate,₹5L-10L,8,6,7,7,2,2,6,3,5,8,8,5,8,8,6,7
351,Urban Student,16,Female,"Noida, Uttar Pradesh",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,8,7,3,9,7,3,3,3,9,4,7,3
352,Retired Government Officer,73,Female,"Jamshedpur, Jharkhand",Semi-Urban,Graduate,₹10L-20L,8,7,7,7,3,1,7,3,4,8,8,6,7,8,6,8
353,Corporate Employee,40,Male,"Indore, Madhya Pradesh",Urban,Undergraduate,₹10L-20L,4,5,6,5,6,5,4,6,7,5,5,5,9,5,6,4
354,Regional Language Aspirant,23,Female,"Jamshedpur, Jharkhand",Semi-Urban,Graduate,₹2.5L-5L,5,4,8,7,5,4,5,6,7,7,6,9,2,7,6,7
355,Small Business Owner,54,Male,"Jhansi, Uttar Pradesh",Semi-Urban,Secondary,₹5L-10L,6,5,4,8,5,4,6,5,8,6,5,7,3,6,6,7
356,Regional Language Aspirant,33,Male,"Ratnagiri district, Maharashtra",Rural,Graduate,₹2.5L-5L,5,6,8,7,5,5,6,5,7,7,6,9,4,9,6,8
357,Small Business Owner,33,Male,"Bhubaneswar, Odisha",Urban,Secondary,₹2.5L-5L,5,4,5,8,5,4,5,4,8,6,6,7,4,5,6,6
358,Retired Government Officer,63,Male,"Kochi, Kerala",Urban,Graduate,₹10L-20L,8,6,7,8,3,2,7,3,5,8,7,6,7,8,6,6
359,Regional Language Aspirant,26,Female,"Amravati, Maharashtra",Semi-Urban,Undergraduate,₹5L-10L,5,6,8,7,4,4,6,6,8,7,6,8,3,8,5,6
360,Homemaker,64,Female,Delhi,Urban,Graduate,Below ₹2.5L,5,4,4,9,6,4,6,5,10,5,7,7,3,4,5,7
361,Urban Student,23,Male,"Surat, Gujarat",Urban,Higher Secondary,Below ₹2.5L,4,5,7,5,6,7,3,8,7,3,3,5,9,4,6,3
362,Retired Government Officer,74,Female,"Chennai, Tamil Nadu",Urban,Postgraduate,₹20L-50L,8,6,8,8,3,2,6,3,5,9,7,5,7,8,6,7
363,Startup Founder,42,Male,"Gurugram, Haryana",Urban,Postgraduate,₹10L-20L,3,4,6,5,7,6,2,6,7,5,4,3,9,5,10,3
364,Urban Student,22,Male,"Bhopal, Madhya Pradesh",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,3,9,7,3,2,4,9,5,7,2
365,Small Business Owner,46,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,4,8,5,4,6,5,8,6,6,8,4,6,7,7
366,Rural Farmer,42,Male,"Dhar district, Madhya Pradesh",Rural,Secondary,Below ₹2.5L,5,5,3,7,4,3,7,4,6,4,6,9,2,5,5,7
367,Corporate Employee,44,Female,"Noida, Uttar Pradesh",Urban,Graduate,₹5L-10L,5,5,6,6,5,5,4,6,7,5,5,6,8,5,5,5
368,Small Business Owner,46,Male,"Patna, Bihar",Urban,Secondary,₹2.5L-5L,5,5,4,8,5,5,6,6,9,7,6,7,4,7,6,5
369,Rural Farmer,41,Male,"Kolar district, Karnataka",Rural,Primary,Below ₹2.5L,5,4,3,8,4,3,7,3,6,4,6,9,2,6,5,8
370,Rural Farmer,50,Female,"Sangli district, Maharashtra",Rural,Secondary,₹2.5L-5L,5,3,3,8,4,3,8,4,6,4,6,9,3,6,5,8
371,Homemaker,40,Female,"Chennai, Tamil Nadu",Urban,Higher Secondary,₹5L-10L,5,5,4,8,6,5,7,5,9,5,7,6,3,4,5,7
372,Corporate Employee,48,Female,"Coimbatore, Tamil Nadu",Urban,Postgraduate,₹5L-10L,6,5,6,5,6,5,5,7,7,5,5,5,9,5,5,5
373,Homemaker,35,Female,"Sangli district, Maharashtra",Rural,Higher Secondary,₹2.5L-5L,4,4,3,7,5,5,7,5,10,4,8,7,4,4,6,7
374,Startup Founder,43,Female,"Pune, Maharashtra",Urban,Doctorate,₹20L-50L,4,4,6,5,8,6,2,7,7,5,4,3,10,6,9,3
375,Retired Government Officer,78,Male,"Guntur, Andhra Pradesh",Semi-Urban,Postgraduate,₹10L-20L,8,7,7,8,2,2,7,3,4,8,8,6,7,8,6,8
376,Rural Farmer,43,Male,"Hoshiarpur district, Punjab",Rural,Higher Secondary,Below ₹2.5L,5,4,3,8,4,3,7,4,6,3,7,9,2,6,4,8
377,Corporate Employee,42,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹20L-50L,5,5,6,5,6,5,4,6,7,5,5,5,8,5,7,5
378,Rural Farmer,62,Male,"Hoshiarpur district, Punjab",Rural,Primary,₹5L-10L,5,4,3,8,4,3,7,4,6,4,6,10,2,6,6,8
379,Small Business Owner,59,Female,"Surat, Gujarat",Urban,Secondary,₹5L-10L,4,4,4,8,5,4,6,5,9,7,5,7,4,5,5,6
380,Startup Founder,36,Female,"Gurugram, Haryana",Urban,Graduate,Above ₹50L,4,4,5,5,7,6,3,6,7,5,4,3,9,5,8,3
381,Rural Farmer,38,Male,"Kolar district, Karnataka",Rural,Higher Secondary,Below ₹2.5L,5,4,3,8,4,3,7,4,6,4,5,9,2,6,5,8
382,Corporate Employee,31,Other,"Jaipur, Rajasthan",Urban,Graduate,₹5L-10L,5,5,5,6,6,4,3,6,7,5,5,5,7,5,6,5
383,Retired Government Officer,61,Female,"Siliguri, West Bengal",Semi-Urban,Postgraduate,₹5L-10L,8,5,7,7,3,2,6,4,4,8,8,6,7,7,6,7
384,Regional Language Aspirant,21,Female,"Madurai, Tamil Nadu",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,8,6,5,5,6,5,7,7,6,10,3,8,5,7
385,Small Business Owner,47,Female,"Hubli, Karnataka",Semi-Urban,Graduate,₹5L-10L,5,6,3,8,5,5,6,5,8,6,6,8,4,6,5,7
386,Urban Student,23,Male,"Visakhapatnam, Andhra Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,4,8,5,6,7,4,9,8,3,3,4,9,3,7,3
387,Rural Farmer,54,Male,"Kannur rural, Kerala",Rural,Illiterate,Below ₹2.5L,5,3,4,8,3,4,8,4,7,4,6,9,2,6,5,8
388,Rural Farmer,39,Male,"Sitamarhi district, Bihar",Rural,Secondary,₹2.5L-5L,5,4,3,8,4,3,7,4,5,4,7,8,2,6,4,8
389,Regional Language Aspirant,28,Male,"Dhar district, Madhya Pradesh",Rural,Graduate,₹2.5L-5L,5,5,8,7,5,4,6,6,6,6,6,9,3,8,5,7
390,Small Business Owner,59,Male,"Erode, Tamil Nadu",Semi-Urban,Secondary,₹2.5L-5L,5,5,4,8,5,4,6,4,8,7,6,7,4,5,6,5
391,Small Business Owner,44,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Graduate,₹5L-10L,5,5,4,8,5,5,6,5,8,5,6,7,4,6,6,7
392,Regional Language Aspirant,35,Male,"Rohtak, Haryana",Semi-Urban,Postgraduate,₹2.5L-5L,5,5,8,8,5,3,6,6,7,7,5,9,2,8,4,7
393,Retired Government Officer,68,Female,"Thiruvananthapuram, Kerala",Urban,Graduate,₹10L-20L,8,6,7,7,3,2,6,3,5,9,8,7,7,8,6,7
394,Startup Founder,28,Male,"Bangalore, Karnataka",Urban,Postgraduate,₹20L-50L,4,3,6,5,7,6,3,8,7,5,5,3,9,5,9,3
395,Corporate Employee,38,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹20L-50L,5,5,6,5,6,5,4,5,7,5,5,4,8,6,6,5
396,Rural Farmer,39,Male,"Kolar district, Karnataka",Rural,Higher Secondary,₹2.5L-5L,4,4,3,8,4,4,6,4,7,4,6,9,2,6,5,8
397,Startup Founder,32,Female,"Pune, Maharashtra",Urban,Graduate,Above ₹50L,4,5,6,5,7,6,3,6,7,5,4,3,9,5,8,4
398,Corporate Employee,38,Female,Delhi,Urban,Postgraduate,₹20L-50L,5,5,6,6,7,6,5,6,7,5,5,5,8,5,6,5
399,Rural Farmer,41,Male,"Sundargarh district, Odisha",Rural,Primary,₹2.5L-5L,5,4,3,8,4,3,8,4,6,4,5,8,3,6,5,8
400,Rural Farmer,57,Male,"Kannur rural, Kerala",Rural,Higher Secondary,Below ₹2.5L,5,4,3,7,4,2,6,4,6,4,6,9,2,6,6,9
401,Small Business Owner,50,Male,"Madurai, Tamil Nadu",Semi-Urban,Higher Secondary,₹2.5L-5L,6,5,4,8,5,5,6,4,7,6,7,8,3,6,6,6
402,Corporate Employee,34,Female,"Ahmedabad, Gujarat",Urban,Postgraduate,₹10L-20L,5,5,6,4,6,6,5,6,7,6,5,5,9,5,6,5
403,Homemaker,51,Female,"Jhansi, Uttar Pradesh",Semi-Urban,Undergraduate,₹5L-10L,5,5,4,8,6,5,6,5,9,5,7,7,4,4,5,7
404,Homemaker,55,Female,"Lucknow, Uttar Pradesh",Urban,Undergraduate,₹5L-10L,5,4,4,8,6,5,7,4,9,4,6,7,4,4,5,6
405,Urban Student,17,Male,"Thiruvananthapuram, Kerala",Urban,Undergraduate,Below ₹2.5L,5,5,8,6,7,7,4,9,8,4,3,4,9,5,8,3
406,Corporate Employee,31,Male,"Patna, Bihar",Urban,Undergraduate,₹20L-50L,5,4,6,5,6,5,4,6,7,4,5,5,8,5,6,5
407,Urban Student,21,Male,Delhi,Urban,Higher Secondary,₹2.5L-5L,5,5,8,6,8,7,4,9,8,3,3,4,9,5,7,2
408,Homemaker,45,Female,"Kolar district, Karnataka",Rural,Higher Secondary,₹10L-20L,5,5,4,8,7,5,6,5,9,4,7,6,3,4,5,6
409,Homemaker,52,Female,"Kolar district, Karnataka",Rural,Secondary,Below ₹2.5L,5,5,5,8,6,5,7,5,8,4,7,7,3,4,5,8
410,Retired Government Officer,77,Female,"Hyderabad, Telangana",Urban,Postgraduate,₹10L-20L,8,6,7,7,3,3,7,3,6,8,7,7,7,8,6,7
411,Regional Language Aspirant,30,Female,"Jamshedpur, Jharkhand",Semi-Urban,Postgraduate,Below ₹2.5L,5,5,9,6,6,3,6,7,7,7,6,9,3,8,5,7
412,Retired Government Officer,68,Male,"Amravati, Maharashtra",Semi-Urban,Graduate,₹10L-20L,8,6,6,7,3,2,6,3,5,7,8,5,7,8,6,7
413,Corporate Employee,24,Male,"Thiruvananthapuram, Kerala",Urban,Graduate,₹10L-20L,4,5,6,5,6,6,4,6,7,5,6,5,7,5,6,5
414,Retired Government Officer,65,Male,"Noida, Uttar Pradesh",Urban,Graduate,₹5L-10L,8,6,7,7,4,2,7,3,5,8,8,6,7,8,6,7
415,Startup Founder,26,Male,"Chennai, Tamil Nadu",Urban,Graduate,₹20L-50L,4,3,6,5,7,7,3,7,7,5,4,3,9,6,9,4
416,Retired Government Officer,60,Male,"Nagpur, Maharashtra",Urban,Graduate,₹5L-10L,7,6,6,6,2,2,7,3,5,8,7,6,7,9,7,7
417,Retired Government Officer,74,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Postgraduate,₹10L-20L,8,5,7,7,3,2,6,3,4,9,8,6,7,9,6,7
418,Rural Farmer,31,Male,"Dhar district, Madhya Pradesh",Rural,Illiterate,₹2.5L-5L,5,4,3,8,4,3,7,4,6,4,6,9,2,5,5,7
419,Homemaker,52,Female,"Jaipur, Rajasthan",Urban,Undergraduate,₹2.5L-5L,6,5,4,8,6,5,7,5,9,3,6,7,3,4,6,6
420,Regional Language Aspirant,24,Male,"Davangere, Karnataka",Semi-Urban,Graduate,₹2.5L-5L,5,5,9,7,6,4,6,6,7,6,6,9,4,8,5,7
421,Small Business Owner,50,Male,Chandigarh,Urban,Secondary,₹5L-10L,6,5,5,8,5,5,7,5,9,6,7,7,4,5,7,6
422,Regional Language Aspirant,24,Female,"Hoshiarpur district, Punjab",Rural,Graduate,₹2.5L-5L,5,5,8,7,5,5,7,6,7,7,7,9,4,8,5,7
423,Urban Student,17,Female,"Kochi, Kerala",Urban,Postgraduate,₹2.5L-5L,5,5,9,5,7,7,4,10,7,3,3,3,8,4,7,2
424,Regional Language Aspirant,18,Female,"Bikaner rural, Rajasthan",Rural,Undergraduate,₹5L-10L,6,6,8,7,4,4,6,6,7,6,5,9,4,9,4,7
425,Homemaker,30,Female,"Sangli district, Maharashtra",Rural,Higher Secondary,₹10L-20L,5,4,4,8,5,5,8,5,9,3,6,7,3,5,5,7
426,Startup Founder,40,Male,"Pune, Maharashtra",Urban,Postgraduate,Above ₹50L,4,4,5,4,8,6,3,7,7,5,4,3,10,6,9,3
427,Homemaker,54,Female,"Belgaum, Karnataka",Semi-Urban,Graduate,Below ₹2.5L,4,5,5,8,6,5,7,6,9,4,7,8,3,5,5,7
428,Startup Founder,38,Male,"Hyderabad, Telangana",Urban,Postgraduate,₹20L-50L,4,5,6,4,7,6,3,7,7,5,4,3,9,5,9,3
429,Startup Founder,44,Male,"Hyderabad, Telangana",Urban,Doctorate,₹20L-50L,4,3,6,5,7,7,3,7,7,5,4,3,10,5,8,3
430,Small Business Owner,57,Female,"Bangalore, Karnataka",Urban,Higher Secondary,₹5L-10L,5,5,4,8,5,4,6,6,8,6,6,7,4,5,6,6
431,Rural Farmer,55,Female,"Sangrur district, Punjab",Rural,Higher Secondary,₹2.5L-5L,6,4,3,7,5,3,8,4,6,4,6,9,2,6,6,9
432,Regional Language Aspirant,33,Male,"Tirupati, Andhra Pradesh",Semi-Urban,Postgraduate,₹5L-10L,6,6,8,7,5,4,6,6,7,7,6,9,3,8,5,7
433,Corporate Employee,43,Female,"Chennai, Tamil Nadu",Urban,Graduate,₹20L-50L,4,5,5,5,5,5,4,6,7,6,5,5,8,6,6,5
434,Rural Farmer,55,Male,"Ratnagiri district, Maharashtra",Rural,Higher Secondary,Below ₹2.5L,5,3,3,8,5,3,7,4,5,4,6,8,2,5,5,8
435,Homemaker,51,Female,"Indore, Madhya Pradesh",Urban,Higher Secondary,₹2.5L-5L,5,6,4,8,6,5,7,5,9,5,7,7,5,5,6,7
436,Homemaker,39,Female,"Anantapur district, Andhra Pradesh",Rural,Secondary,₹5L-10L,5,6,4,8,5,5,7,5,10,5,7,7,4,4,5,7
437,Corporate Employee,35,Male,"Indore, Madhya Pradesh",Urban,Graduate,₹10L-20L,5,6,6,5,6,5,5,6,7,5,5,5,9,4,6,6
438,Startup Founder,28,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,Above ₹50L,4,5,6,5,7,6,3,8,7,5,3,3,9,5,9,3
439,Corporate Employee,40,Male,Chandigarh,Urban,Postgraduate,₹5L-10L,4,6,6,4,6,5,3,6,8,5,5,5,8,5,6,5
440,Retired Government Officer,65,Male,"Surat, Gujarat",Urban,Graduate,₹10L-20L,8,6,7,7,4,3,6,2,5,7,8,6,7,8,6,8
441,Startup Founder,39,Male,Delhi,Urban,Postgraduate,₹10L-20L,4,4,5,5,7,7,3,7,7,5,4,3,9,5,9,3
442,Small Business Owner,43,Female,"Patna, Bihar",Urban,Higher Secondary,₹5L-10L,5,5,5,8,5,4,6,5,8,6,6,7,4,6,6,7
443,Regional Language Aspirant,25,Female,"Madurai, Tamil Nadu",Semi-Urban,Postgraduate,₹2.5L-5L,4,5,8,6,5,4,6,6,8,7,5,8,3,9,4,7
444,Homemaker,43,Female,"Gurugram, Haryana",Urban,Primary,₹2.5L-5L,5,5,4,9,6,6,7,5,9,4,8,7,4,4,5,7
445,Homemaker,60,Female,"Hubli, Karnataka",Semi-Urban,Higher Secondary,Below ₹2.5L,5,5,3,9,6,5,7,5,9,4,7,8,2,4,5,6
446,Retired Government Officer,68,Male,"Belgaum, Karnataka",Semi-Urban,Doctorate,₹5L-10L,8,6,7,7,3,2,7,3,4,7,8,6,7,8,6,7
447,Regional Language Aspirant,18,Male,"Rohtak, Haryana",Semi-Urban,Postgraduate,₹5L-10L,5,5,8,7,5,4,6,6,7,7,7,9,4,8,5,7
448,Homemaker,34,Female,"Guwahati, Assam",Urban,Secondary,Below ₹2.5L,5,5,4,7,6,4,7,5,9,3,7,7,2,4,5,7
449,Corporate Employee,41,Male,"Vadodara, Gujarat",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,5,6,8,6,5,5,7,5,5,6
450,Rural Farmer,46,Male,"Sitamarhi district, Bihar",Rural,Secondary,Below ₹2.5L,5,5,3,8,3,3,8,4,7,4,6,9,2,6,4,8
451,Corporate Employee,32,Male,"Bhubaneswar, Odisha",Urban,Graduate,₹5L-10L,5,6,6,5,6,4,4,6,8,5,5,6,9,5,6,5
452,Startup Founder,27,Female,"Gurugram, Haryana",Urban,Postgraduate,₹20L-50L,4,4,6,5,7,6,3,7,7,5,4,3,9,5,9,3
453,Corporate Employee,29,Other,"Bangalore, Karnataka",Urban,Undergraduate,₹10L-20L,5,5,6,5,7,5,4,6,7,5,5,6,7,4,6,6
454,Urban Student,19,Male,"Gurugram, Haryana",Urban,Undergraduate,Below ₹2.5L,4,5,8,6,8,6,3,9,7,3,3,4,10,5,7,4
455,Homemaker,41,Male,"Aligarh, Uttar Pradesh",Semi-Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,6,5,7,5,10,4,7,7,3,5,5,7
456,Rural Farmer,31,Male,"Mehsana district, Gujarat",Rural,Primary,Below ₹2.5L,4,4,3,8,4,3,8,3,5,4,5,9,3,7,5,8
457,Retired Government Officer,62,Male,"Bhubaneswar, Odisha",Urban,Postgraduate,₹5L-10L,8,6,7,6,3,2,6,3,4,8,8,6,7,8,6,7
458,Small Business Owner,36,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Higher Secondary,₹2.5L-5L,5,5,4,8,5,4,6,5,8,6,6,7,5,6,6,5
459,Rural Farmer,50,Male,"Sangrur district, Punjab",Rural,Higher Secondary,Below ₹2.5L,5,3,3,8,4,4,8,4,6,4,6,9,2,5,5,8
460,Small Business Owner,50,Male,"Ahmedabad, Gujarat",Urban,Higher Secondary,₹10L-20L,5,6,3,8,6,5,6,5,8,6,7,7,4,5,7,6
461,Rural Farmer,30,Male,"Sangrur district, Punjab",Rural,Secondary,Below ₹2.5L,5,4,4,8,5,4,9,4,6,4,6,10,2,6,5,8
462,Retired Government Officer,68,Male,"Noida, Uttar Pradesh",Urban,Doctorate,₹5L-10L,8,6,7,6,3,2,7,3,5,8,8,6,7,9,6,8
463,Rural Farmer,38,Male,"Ratnagiri district, Maharashtra",Rural,Secondary,₹2.5L-5L,5,4,3,9,4,3,8,4,7,5,5,9,2,6,5,8
464,Urban Student,17,Male,"Nagpur, Maharashtra",Urban,Higher Secondary,Below ₹2.5L,5,5,8,5,7,7,4,9,7,2,2,4,9,3,8,4
465,Homemaker,51,Female,"Karimnagar district, Telangana",Rural,Undergraduate,₹5L-10L,5,5,4,8,7,4,7,5,8,3,7,7,4,4,5,8
466,Regional Language Aspirant,34,Female,"Guntur, Andhra Pradesh",Semi-Urban,Graduate,Below ₹2.5L,6,5,9,7,5,4,6,6,7,7,6,9,3,8,5,7
467,Homemaker,34,Female,"Kannur rural, Kerala",Rural,Secondary,Below ₹2.5L,5,5,4,8,6,5,7,5,9,4,7,7,4,5,5,7
468,Corporate Employee,37,Female,"Gurugram, Haryana",Urban,Graduate,₹5L-10L,5,4,6,5,7,6,5,6,6,5,5,5,8,5,6,5
469,Retired Government Officer,74,Female,"Kochi, Kerala",Urban,Postgraduate,₹10L-20L,7,5,7,7,3,3,7,3,5,9,8,6,6,8,6,7
470,Regional Language Aspirant,32,Male,"Kolhapur, Maharashtra",Semi-Urban,Graduate,Below ₹2.5L,5,5,8,7,5,4,6,6,7,7,5,9,3,8,4,8
471,Regional Language Aspirant,27,Male,"Bikaner rural, Rajasthan",Rural,Graduate,₹2.5L-5L,6,5,7,8,5,4,7,6,7,7,7,9,4,9,4,7
472,Urban Student,24,Male,"Surat, Gujarat",Urban,Higher Secondary,Below ₹2.5L,5,5,7,6,7,7,3,9,7,3,3,3,8,4,7,3
473,Startup Founder,34,Female,"Noida, Uttar Pradesh",Urban,Postgraduate,Above ₹50L,4,4,7,4,7,5,3,7,7,5,4,3,9,5,9,3
474,Retired Government Officer,77,Female,"Nagpur, Maharashtra",Urban,Doctorate,₹5L-10L,8,7,7,6,3,2,7,2,5,8,8,5,7,9,6,7
475,Regional Language Aspirant,34,Male,"Thanjavur rural, Tamil Nadu",Rural,Graduate,Below ₹2.5L,5,5,8,7,5,4,7,5,7,7,6,9,3,8,5,7
476,Urban Student,21,Female,"Bhopal, Madhya Pradesh",Urban,Postgraduate,₹2.5L-5L,5,5,8,6,7,7,5,9,8,2,3,4,9,5,7,3
477,Corporate Employee,46,Male,"Thiruvananthapuram, Kerala",Urban,Undergraduate,₹5L-10L,4,6,6,5,6,5,4,6,7,5,4,6,9,5,6,5
478,Rural Farmer,49,Male,"Bikaner rural, Rajasthan",Rural,Illiterate,Below ₹2.5L,5,4,3,8,3,3,7,4,6,4,6,9,2,6,6,8
479,Corporate Employee,49,Male,"Hyderabad, Telangana",Urban,Graduate,₹10L-20L,6,4,6,4,6,5,5,6,6,5,5,5,8,6,6,5
480,Regional Language Aspirant,33,Female,"Aligarh, Uttar Pradesh",Semi-Urban,Undergraduate,₹2.5L-5L,5,5,8,7,5,4,6,7,7,7,6,8,3,8,5,7
481,Corporate Employee,30,Female,"Thiruvananthapuram, Kerala",Urban,Undergraduate,₹10L-20L,5,4,6,5,6,6,4,6,7,5,5,5,8,4,6,5
482,Corporate Employee,39,Male,"Nagpur, Maharashtra",Urban,Postgraduate,₹5L-10L,4,5,6,4,6,4,4,6,7,5,4,5,8,5,6,5
483,Retired Government Officer,71,Female,"Belgaum, Karnataka",Semi-Urban,Graduate,₹10L-20L,8,6,7,7,2,2,7,2,5,8,8,6,7,8,5,8
484,Urban Student,16,Female,"Ahmedabad, Gujarat",Urban,Undergraduate,₹5L-10L,6,5,8,6,7,6,4,9,7,3,3,4,9,5,7,3
485,Small Business Owner,30,Male,"Jaipur, Rajasthan",Urban,Graduate,₹5L-10L,5,5,4,8,5,5,6,5,9,6,5,7,3,6,6,5
486,Regional Language Aspirant,26,Male,"Belgaum, Karnataka",Semi-Urban,Graduate,Below ₹2.5L,5,5,7,7,5,4,6,6,7,7,6,9,3,8,5,7
487,Rural Farmer,57,Female,"Thanjavur rural, Tamil Nadu",Rural,Illiterate,Below ₹2.5L,5,4,3,8,4,3,8,5,6,4,5,9,2,6,5,8
488,Regional Language Aspirant,31,Male,"Ujjain, Madhya Pradesh",Semi-Urban,Postgraduate,Below ₹2.5L,5,5,8,7,5,4,6,6,7,7,6,9,3,8,5,7
489,Rural Farmer,39,Male,"Kannur rural, Kerala",Rural,Secondary,Below ₹2.5L,5,4,2,8,4,3,9,5,7,3,7,9,2,6,5,8
490,Corporate Employee,27,Female,"Gurugram, Haryana",Urban,Graduate,₹20L-50L,5,5,6,5,6,5,6,7,7,5,5,5,8,5,6,5
491,Retired Government Officer,73,Male,"Chennai, Tamil Nadu",Urban,Postgraduate,₹10L-20L,8,6,6,6,3,3,6,3,5,8,7,6,7,8,6,6
492,Homemaker,40,Female,"Bastar district, Chhattisgarh",Rural,Undergraduate,Below ₹2.5L,6,5,4,8,6,5,7,6,9,4,7,7,4,4,4,7
493,Small Business Owner,54,Female,"Surat, Gujarat",Urban,Higher Secondary,₹5L-10L,5,6,3,8,4,3,6,6,8,6,5,7,4,6,6,6
494,Homemaker,46,Female,"Sangli district, Maharashtra",Rural,Secondary,₹10L-20L,5,5,4,9,6,5,6,5,9,4,6,6,4,5,6,7
495,Corporate Employee,32,Male,"Surat, Gujarat",Urban,Postgraduate,₹20L-50L,5,6,6,5,6,5,5,6,7,5,5,5,8,5,6,5
496,Homemaker,60,Female,"Chennai, Tamil Nadu",Urban,Primary,₹5L-10L,6,5,3,8,6,5,7,5,9,3,7,8,3,4,5,7
497,Rural Farmer,40,Male,"Kannur rural, Kerala",Rural,Secondary,Below ₹2.5L,5,4,2,8,4,3,8,4,6,4,6,8,2,7,5,8
498,Regional Language Aspirant,28,Other,"Jamshedpur, Jharkhand",Semi-Urban,Undergraduate,Below ₹2.5L,4,5,8,7,5,3,6,6,7,7,6,9,3,8,5,7
499,Startup Founder,32,Female,"Hyderabad, Telangana",Urban,Doctorate,Above ₹50L,4,4,6,5,7,7,3,7,7,5,4,3,10,4,9,3
500,Small Business Owner,43,Male,Chandigarh,Urban,Undergraduate,₹5L-10L,5,5,4,7,5,4,6,5,8,6,6,7,3,6,6,6
501,Startup Founder,44,Male,Delhi,Urban,Postgraduate,₹10L-20L,3,4,7,6,6,7,3,8,7,5,5,2,9,5,9,3
502,Homemaker,52,Female,"Nashik rural, Maharashtra",Rural,Undergraduate,₹2.5L-5L,5,4,4,8,6,5,7,5,9,4,8,7,5,5,5,6
503,Startup Founder,44,Male,"Noida, Uttar Pradesh",Urban,Postgraduate,₹20L-50L,4,4,6,4,8,6,3,7,7,5,4,3,10,5,9,3
504,Startup Founder,38,Male,"Bangalore, Karnataka",Urban,Postgraduate,Above ₹50L,5,4,6,4,6,6,3,7,7,5,4,3,9,6,8,2
505,Rural Farmer,39,Female,"Sangrur district, Punjab",Rural,Secondary,Below ₹2.5L,6,3,2,8,4,3,7,4,7,3,5,9,2,5,6,8
506,Retired Government Officer,64,Male,"Vadodara, Gujarat",Urban,Postgraduate,₹20L-50L,7,6,7,7,2,2,7,2,5,7,8,6,7,8,6,6
507,Rural Farmer,59,Male,"Kolar district, Karnataka",Rural,Secondary,Below ₹2.5L,5,4,3,8,4,3,7,4,5,4,6,10,2,6,5,8
508,Regional Language Aspirant,21,Male,"Mehsana district, Gujarat",Rural,Undergraduate,₹5L-10L,5,5,9,7,4,4,6,6,8,7,6,9,4,8,5,8
509,Small Business Owner,59,Male,"Ahmedabad, Gujarat",Urban,Secondary,₹10L-20L,5,5,4,8,6,3,7,5,8,5,6,7,4,5,6,6
510,Retired Government Officer,62,Male,"Surat, Gujarat",Urban,Postgraduate,₹20L-50L,8,7,7,7,3,2,7,3,5,8,8,6,7,8,6,7
511,Rural Farmer,52,Male,"Dhar district, Madhya Pradesh",Rural,Illiterate,Below ₹2.5L,5,4,3,8,4,3,8,3,6,4,6,10,2,6,5,9
